,NOM,JAN_MIN,FEV_MIN,MARS_MIN,AVRIL_MIN,MAI_MIN,JUIN_MIN,JUILLET_MIN,AOUT_MIN,SEPT_MIN,OCT_MIN,NOV_MIN,DEC_MIN,MINI ANNUELLE,JAN_MAX,FEV_MAX,MARS_MAX,AVRIL_MAX,MAI_MAX,JUIN_MAX,JUILLET_MAX,AOUT_MAX,SEPT_MAX,OCT_MAX,NOV_MAX,DEC_MAX,MAXI ANNUELLE
0,ABIDJAN,10,3,26,47,49,57,58,54,53,47,51,11,3,100,100,100,100,100,100,100,100,100,100,100,100,100
1,ADIAKE,20,25,27,31,51,51,58,53,57,55,52,27,20,100,100,100,100,100,100,100,97,100,100,100,100,100
2,BONDOUKOU,3,4,4,19,35,39,46,46,41,27,15,3,3,100,100,100,100,100,100,100,100,100,100,100,100,100
3,BOUAKE,6,6,7,24,29,42,46,22,49,39,20,8,6,100,100,100,100,100,100,100,100,100,100,100,100,100
4,DALOA,10,10,13,36,40,49,50,50,49,45,33,11,10,100,100,100,100,100,100,100,100,100,100,100,100,100
5,DIMBOKRO,1,6,17,34,36,42,36,43,17,36,30,2,1,100,100,100,100,100,100,100,100,100,100,100,100,100
6,GAGNOA,11,12,18,44,40,52,49,23,50,46,39,20,11,100,100,100,100,100,100,100,100,100,100,100,100,100
7,KORHOGO,5,4,6,8,20,33,31,43,35,18,2,1,1,99,100,100,100,100,100,100,100,100,100,100,100,100
8,MAN,7,5,3,31,31,19,50,47,50,43,31,5,3,100,100,100,100,100,100,100,100,100,100,100,100,100
9,ODIENNE,5,3,3,10,20,39,46,39,34,20,15,6,3,100,100,100,100,100,100,100,100,100,100,100,100,100
10,SAN-PEDRO,12,25,22,47,53,54,56,56,64,54,57,21,12,100,100,100,100,100,100,100,100,100,100,100,100,100
11,SASSANDRA,19,22,26,51,59,64,62,61,65,65,60,29,19,100,100,100,100,100,100,100,100,100,100,100,100,100
12,TABOU,1,3,8,40,47,52,52,51,63,59,47,27,1,100,100,100,100,100,100,100,100,100,100,100,100,100
13,YAMOUSSOUKRO,1,1,11,29,33,34,44,36,26,24,19,3,1,100,100,100,100,98,100,100,100,100,100,100,100,100
