,NOM,Humidity,Month,Type
0,ABIDJAN - AERO,10,JAN,Min
1,ADIAKE,20,JAN,Min
2,BONDOUKOU,3,JAN,Min
3,BOUAKE (AERO),6,JAN,Min
4,DALOA AERO,10,JAN,Min
5,DIMBOKRO  *,1,JAN,Min
6,GAGNOA  *,11,JAN,Min
7,KORHOGO AERO,5,JAN,Min
8,MAN-AERO,7,JAN,Min
9,ODIENNE  AERO,5,JAN,Min
10,SAN-PEDRO AE,12,JAN,Min
11,SASSANDRA*,19,JAN,Min
12,TABOU AERO,1,JAN,Min
13,YAMOUSSOUKRO AE,1,JAN,Min
14,ABIDJAN - AERO,3,FEV,Min
15,ADIAKE,25,FEV,Min
16,BONDOUKOU,4,FEV,Min
17,BOUAKE (AERO),6,FEV,Min
18,DALOA AERO,10,FEV,Min
19,DIMBOKRO  *,6,FEV,Min
20,GAGNOA  *,12,FEV,Min
21,KORHOGO AERO,4,FEV,Min
22,MAN-AERO,5,FEV,Min
23,ODIENNE  AERO,3,FEV,Min
24,SAN-PEDRO AE,25,FEV,Min
25,SASSANDRA*,22,FEV,Min
26,TABOU AERO,3,FEV,Min
27,YAMOUSSOUKRO AE,1,FEV,Min
28,ABIDJAN - AERO,26,MARS,Min
29,ADIAKE,27,MARS,Min
30,BONDOUKOU,4,MARS,Min
31,BOUAKE (AERO),7,MARS,Min
32,DALOA AERO,13,MARS,Min
33,DIMBOKRO  *,17,MARS,Min
34,GAGNOA  *,18,MARS,Min
35,KORHOGO AERO,6,MARS,Min
36,MAN-AERO,3,MARS,Min
37,ODIENNE  AERO,3,MARS,Min
38,SAN-PEDRO AE,22,MARS,Min
39,SASSANDRA*,26,MARS,Min
40,TABOU AERO,8,MARS,Min
41,YAMOUSSOUKRO AE,11,MARS,Min
42,ABIDJAN - AERO,47,AVRIL,Min
43,ADIAKE,31,AVRIL,Min
44,BONDOUKOU,19,AVRIL,Min
45,BOUAKE (AERO),24,AVRIL,Min
46,DALOA AERO,36,AVRIL,Min
47,DIMBOKRO  *,34,AVRIL,Min
48,GAGNOA  *,44,AVRIL,Min
49,KORHOGO AERO,8,AVRIL,Min
50,MAN-AERO,31,AVRIL,Min
51,ODIENNE  AERO,10,AVRIL,Min
52,SAN-PEDRO AE,47,AVRIL,Min
53,SASSANDRA*,51,AVRIL,Min
54,TABOU AERO,40,AVRIL,Min
55,YAMOUSSOUKRO AE,29,AVRIL,Min
56,ABIDJAN - AERO,49,MAI,Min
57,ADIAKE,51,MAI,Min
58,BONDOUKOU,35,MAI,Min
59,BOUAKE (AERO),29,MAI,Min
60,DALOA AERO,40,MAI,Min
61,DIMBOKRO  *,36,MAI,Min
62,GAGNOA  *,40,MAI,Min
63,KORHOGO AERO,20,MAI,Min
64,MAN-AERO,31,MAI,Min
